CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
3,166,0,170,143,0,0.151965,5.2534019999999995,0.0,15.887519999999999,14.223065999999998,0.0,35.515952999999996,0.19799999999999998,0.32867999999999997,0.0,13.463999999999999,12.741299999999999,0.0,26.73198
3,176,0,180,144,0,0.151965,5.569872,0.0,16.82208,14.322528,0.0,36.866445,0.19799999999999998,0.34847999999999996,0.0,14.256,12.8304,0.0,27.63288
4,186,0,190,144,0,0.20262,5.886341999999999,0.0,17.75664,14.322528,0.0,38.16813,0.264,0.36827999999999994,0.0,15.048,12.8304,0.0,28.51068
4,196,0,200,144,0,0.20262,6.202812,0.0,18.691200000000002,14.322528,0.0,39.41916,0.264,0.38808,0.0,15.839999999999998,12.8304,0.0,29.32248
4,206,0,210,145,0,0.20262,6.519282,0.0,19.62576,14.421990000000001,0.0,40.769652,0.264,0.40787999999999996,0.0,16.631999999999998,12.9195,0.0,30.22338
4,216,0,220,145,0,0.20262,6.835751999999999,0.0,20.56032,14.421990000000001,0.0,42.020682,0.264,0.42767999999999995,0.0,17.424,12.9195,0.0,31.03518
4,226,0,230,145,0,0.20262,7.152221999999999,0.0,21.49488,14.421990000000001,0.0,43.271711999999994,0.264,0.44748,0.0,18.216,12.9195,0.0,31.846980000000002
4,236,0,240,146,0,0.20262,7.468691999999999,0.0,22.42944,14.521451999999998,0.0,44.622203999999996,0.264,0.4672799999999999,0.0,19.008,13.0086,0.0,32.74788
4,245,0,250,146,0,0.20262,7.753514999999999,0.0,23.363999999999997,14.521451999999998,0.0,45.841587,0.264,0.4850999999999999,0.0,19.799999999999997,13.0086,0.0,33.5577
4,255,0,260,146,0,0.20262,8.069984999999999,0.0,24.29856,14.521451999999998,0.0,47.09261699999999,0.264,0.5049,0.0,20.592,13.0086,0.0,34.369499999999995
4,265,0,270,147,0,0.20262,8.386455,0.0,25.23312,14.620913999999999,0.0,48.443109,0.264,0.5246999999999998,0.0,21.384,13.0977,0.0,35.270399999999995
4,275,0,280,147,0,0.20262,8.702924999999999,0.0,26.16768,14.620913999999999,0.0,49.694139,0.264,0.5444999999999999,0.0,22.176,13.0977,0.0,36.0822
5,285,0,290,147,0,0.253275,9.019395,0.0,27.10224,14.620913999999999,0.0,50.995824,0.33,0.5642999999999999,0.0,22.968,13.0977,0.0,36.96
5,295,0,300,148,0,0.253275,9.335865,0.0,28.0368,14.720376,0.0,52.346316,0.33,0.5841,0.0,23.759999999999998,13.1868,0.0,37.8609
5,305,0,310,148,0,0.253275,9.652334999999999,0.0,28.971360000000004,14.720376,0.0,53.597346,0.33,0.6039,0.0,24.552,13.1868,0.0,38.6727
5,315,0,320,148,0,0.253275,9.968805,0.0,29.90592,14.720376,0.0,54.848376,0.33,0.6236999999999999,0.0,25.343999999999998,13.1868,0.0,39.4845
5,325,0,330,149,0,0.253275,10.285274999999999,0.0,30.840480000000003,14.819837999999997,0.0,56.198868,0.33,0.6434999999999998,0.0,26.136,13.275899999999998,0.0,40.3854
5,334,0,340,149,0,0.253275,10.570097999999998,0.0,31.775039999999997,14.819837999999997,0.0,57.41825099999999,0.33,0.6613199999999999,0.0,26.927999999999997,13.275899999999998,0.0,41.19522
5,344,0,350,149,0,0.253275,10.886567999999999,0.0,32.7096,14.819837999999997,0.0,58.669281,0.33,0.6811199999999998,0.0,27.72,13.275899999999998,0.0,42.00702
5,354,0,360,150,0,0.253275,11.203038,0.0,33.64416,14.919299999999998,0.0,60.019773,0.33,0.7009199999999999,0.0,28.512,13.364999999999998,0.0,42.90792
5,364,0,370,150,0,0.253275,11.519507999999998,0.0,34.57872,14.919299999999998,0.0,61.270802999999994,0.33,0.7207199999999999,0.0,29.304000000000002,13.364999999999998,0.0,43.719719999999995
6,374,0,380,150,0,0.30393,11.835977999999999,0.0,35.51328,14.919299999999998,0.0,62.572488,0.39599999999999996,0.74052,0.0,30.096,13.364999999999998,0.0,44.59752
6,384,0,390,151,0,0.30393,12.152447999999998,0.0,36.44784,15.018762,0.0,63.92298,0.39599999999999996,0.7603199999999999,0.0,30.887999999999998,13.454099999999999,0.0,45.498419999999996
6,394,0,400,151,0,0.30393,12.468917999999999,0.0,37.382400000000004,15.018762,0.0,65.17401,0.39599999999999996,0.7801199999999998,0.0,31.679999999999996,13.454099999999999,0.0,46.310219999999994
6,404,0,410,152,0,0.30393,12.785388,0.0,38.31696,15.118223999999998,0.0,66.524502,0.39599999999999996,0.7999199999999999,0.0,32.472,13.543199999999999,0.0,47.21112
6,414,0,420,152,0,0.30393,13.101857999999998,0.0,39.25152,15.118223999999998,0.0,67.775532,0.39599999999999996,0.8197199999999999,0.0,33.263999999999996,13.543199999999999,0.0,48.02291999999999
6,424,0,430,152,0,0.30393,13.418327999999999,0.0,40.18608,15.118223999999998,0.0,69.02656199999998,0.39599999999999996,0.8395199999999998,0.0,34.056,13.543199999999999,0.0,48.83472
6,433,0,440,153,0,0.30393,13.703151,0.0,41.12064,15.217685999999999,0.0,70.345407,0.39599999999999996,0.8573399999999999,0.0,34.848,13.6323,0.0,49.73364
6,443,0,450,153,0,0.30393,14.019620999999997,0.0,42.0552,15.217685999999999,0.0,71.596437,0.39599999999999996,0.8771399999999999,0.0,35.64,13.6323,0.0,50.54544
6,453,0,460,153,0,0.30393,14.336090999999998,0.0,42.98976,15.217685999999999,0.0,72.847467,0.39599999999999996,0.89694,0.0,36.432,13.6323,0.0,51.357240000000004
6,463,0,470,154,0,0.30393,14.652561,0.0,43.92432,15.317148,0.0,74.197959,0.39599999999999996,0.9167399999999999,0.0,37.224,13.721400000000001,0.0,52.25814
