CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
3,187,0,190,74,0,0.151965,5.9179889999999995,0.0,17.75664,7.360188,0.0,31.186782,0.19799999999999998,0.37026,0.0,15.048,6.5934,0.0,22.20966
3,197,0,200,74,0,0.151965,6.234458999999999,0.0,18.691200000000002,7.360188,0.0,32.437812,0.19799999999999998,0.3900599999999999,0.0,15.839999999999998,6.5934,0.0,23.021459999999998
3,207,0,210,75,0,0.151965,6.550928999999999,0.0,19.62576,7.459649999999999,0.0,33.788304,0.19799999999999998,0.40985999999999995,0.0,16.631999999999998,6.682499999999999,0.0,23.922359999999998
3,217,0,220,75,0,0.151965,6.867398999999999,0.0,20.56032,7.459649999999999,0.0,35.039334,0.19799999999999998,0.42965999999999993,0.0,17.424,6.682499999999999,0.0,24.734159999999996
3,227,0,230,75,0,0.151965,7.183869,0.0,21.49488,7.459649999999999,0.0,36.290364,0.19799999999999998,0.4494599999999999,0.0,18.216,6.682499999999999,0.0,25.54596
3,237,0,240,76,0,0.151965,7.500338999999999,0.0,22.42944,7.559111999999999,0.0,37.640856,0.19799999999999998,0.46925999999999995,0.0,19.008,6.771599999999999,0.0,26.446859999999997
3,247,0,250,76,0,0.151965,7.816808999999999,0.0,23.363999999999997,7.559111999999999,0.0,38.891886,0.19799999999999998,0.48906,0.0,19.799999999999997,6.771599999999999,0.0,27.258659999999995
3,256,0,260,77,0,0.151965,8.101631999999999,0.0,24.29856,7.658574,0.0,40.210730999999996,0.19799999999999998,0.5068799999999999,0.0,20.592,6.8607000000000005,0.0,28.15758
3,266,0,270,77,0,0.151965,8.418102,0.0,25.23312,7.658574,0.0,41.461761,0.19799999999999998,0.5266799999999999,0.0,21.384,6.8607000000000005,0.0,28.96938
3,276,0,280,77,0,0.151965,8.734572,0.0,26.16768,7.658574,0.0,42.712791,0.19799999999999998,0.54648,0.0,22.176,6.8607000000000005,0.0,29.78118
3,286,0,290,78,0,0.151965,9.051041999999999,0.0,27.10224,7.758035999999999,0.0,44.06328299999999,0.19799999999999998,0.5662799999999999,0.0,22.968,6.949799999999999,0.0,30.68208
3,296,0,300,78,0,0.151965,9.367512,0.0,28.0368,7.758035999999999,0.0,45.314313,0.19799999999999998,0.5860799999999999,0.0,23.759999999999998,6.949799999999999,0.0,31.493879999999997
4,306,0,310,78,0,0.20262,9.683981999999999,0.0,28.971360000000004,7.758035999999999,0.0,46.615998,0.264,0.60588,0.0,24.552,6.949799999999999,0.0,32.37168
4,316,0,320,79,0,0.20262,10.000452,0.0,29.90592,7.8574980000000005,0.0,47.96649,0.264,0.6256799999999999,0.0,25.343999999999998,7.0389,0.0,33.27258
4,326,0,330,79,0,0.20262,10.316922,0.0,30.840480000000003,7.8574980000000005,0.0,49.21752,0.264,0.6454799999999999,0.0,26.136,7.0389,0.0,34.084379999999996
4,336,0,340,79,0,0.20262,10.633391999999999,0.0,31.775039999999997,7.8574980000000005,0.0,50.46854999999999,0.264,0.6652799999999999,0.0,26.927999999999997,7.0389,0.0,34.896179999999994
4,346,0,350,80,0,0.20262,10.949861999999998,0.0,32.7096,7.95696,0.0,51.819042,0.264,0.6850799999999999,0.0,27.72,7.128,0.0,35.797079999999994
4,356,0,360,80,0,0.20262,11.266331999999998,0.0,33.64416,7.95696,0.0,53.070072,0.264,0.70488,0.0,28.512,7.128,0.0,36.60888
4,365,0,370,80,0,0.20262,11.551154999999998,0.0,34.57872,7.95696,0.0,54.289455,0.264,0.7226999999999999,0.0,29.304000000000002,7.128,0.0,37.4187
4,375,0,380,81,0,0.20262,11.867624999999999,0.0,35.51328,8.056422,0.0,55.639947,0.264,0.7424999999999999,0.0,30.096,7.217099999999999,0.0,38.3196
4,385,0,390,81,0,0.20262,12.184095,0.0,36.44784,8.056422,0.0,56.89097699999999,0.264,0.7622999999999999,0.0,30.887999999999998,7.217099999999999,0.0,39.1314
4,395,0,400,81,0,0.20262,12.500564999999998,0.0,37.382400000000004,8.056422,0.0,58.142007,0.264,0.7820999999999999,0.0,31.679999999999996,7.217099999999999,0.0,39.9432
5,405,0,410,82,0,0.253275,12.817034999999999,0.0,38.31696,8.155884,0.0,59.543154,0.33,0.8018999999999998,0.0,32.472,7.3062,0.0,40.9101
5,415,0,420,82,0,0.253275,13.133505,0.0,39.25152,8.155884,0.0,60.794184,0.33,0.8216999999999999,0.0,33.263999999999996,7.3062,0.0,41.72189999999999
