itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,1,59,0,60,58,0,0.050655,1.8671729999999997,0.0,5.60736,5.768796,0.0,13.293984,0.066,0.11681999999999998,0.0,4.752,5.1678,0.0,10.10262
1,1,68,0,70,58,0,0.050655,2.1519959999999996,0.0,6.54192,5.768796,0.0,14.513367,0.066,0.13463999999999998,0.0,5.544,5.1678,0.0,10.91244
2,1,78,0,80,59,0,0.050655,2.468466,0.0,7.47648,5.868257999999999,0.0,15.863858999999998,0.066,0.15443999999999997,0.0,6.335999999999999,5.2569,0.0,11.81334
3,1,88,0,90,59,0,0.050655,2.784936,0.0,8.41104,5.868257999999999,0.0,17.114888999999998,0.066,0.17423999999999998,0.0,7.128,5.2569,0.0,12.62514
4,1,98,0,100,59,0,0.050655,3.101406,0.0,9.345600000000001,5.868257999999999,0.0,18.365918999999998,0.066,0.19404,0.0,7.919999999999999,5.2569,0.0,13.436939999999998
5,1,108,0,110,60,0,0.050655,3.4178759999999997,0.0,10.28016,5.96772,0.0,19.716411,0.066,0.21383999999999997,0.0,8.712,5.345999999999999,0.0,14.33784
6,2,118,0,120,60,0,0.10131,3.7343459999999995,0.0,11.21472,5.96772,0.0,21.018096,0.132,0.23363999999999996,0.0,9.504,5.345999999999999,0.0,15.21564
7,2,128,0,130,60,0,0.10131,4.050815999999999,0.0,12.14928,5.96772,0.0,22.269126,0.132,0.25343999999999994,0.0,10.296,5.345999999999999,0.0,16.02744
8,2,138,0,140,61,0,0.10131,4.367286,0.0,13.08384,6.067182,0.0,23.619618,0.132,0.27324,0.0,11.088,5.435099999999999,0.0,16.92834
9,2,148,0,150,61,0,0.10131,4.683756,0.0,14.0184,6.067182,0.0,24.870648,0.132,0.29303999999999997,0.0,11.879999999999999,5.435099999999999,0.0,17.740139999999997
10,2,158,0,160,61,0,0.10131,5.000226,0.0,14.95296,6.067182,0.0,26.121678,0.132,0.31283999999999995,0.0,12.671999999999999,5.435099999999999,0.0,18.55194
11,2,168,0,170,62,0,0.10131,5.316695999999999,0.0,15.887519999999999,6.166643999999999,0.0,27.472169999999995,0.132,0.33263999999999994,0.0,13.463999999999999,5.5241999999999996,0.0,19.45284
12,2,178,0,180,62,0,0.10131,5.633165999999999,0.0,16.82208,6.166643999999999,0.0,28.7232,0.132,0.35244,0.0,14.256,5.5241999999999996,0.0,20.26464
13,2,187,0,190,62,0,0.10131,5.9179889999999995,0.0,17.75664,6.166643999999999,0.0,29.942583,0.132,0.37026,0.0,15.048,5.5241999999999996,0.0,21.07446
14,2,197,0,200,63,0,0.10131,6.234458999999999,0.0,18.691200000000002,6.266106,0.0,31.293075,0.132,0.3900599999999999,0.0,15.839999999999998,5.6133,0.0,21.97536
15,2,207,0,210,63,0,0.10131,6.550928999999999,0.0,19.62576,6.266106,0.0,32.544104999999995,0.132,0.40985999999999995,0.0,16.631999999999998,5.6133,0.0,22.787159999999997
16,2,217,0,220,63,0,0.10131,6.867398999999999,0.0,20.56032,6.266106,0.0,33.795135,0.132,0.42965999999999993,0.0,17.424,5.6133,0.0,23.598959999999998
17,2,227,0,230,64,0,0.10131,7.183869,0.0,21.49488,6.365568,0.0,35.145627,0.132,0.4494599999999999,0.0,18.216,5.7024,0.0,24.49986
18,2,237,0,240,64,0,0.10131,7.500338999999999,0.0,22.42944,6.365568,0.0,36.396657,0.132,0.46925999999999995,0.0,19.008,5.7024,0.0,25.31166
19,3,247,0,250,64,0,0.151965,7.816808999999999,0.0,23.363999999999997,6.365568,0.0,37.698342,0.19799999999999998,0.48906,0.0,19.799999999999997,5.7024,0.0,26.189459999999997
20,3,257,0,260,65,0,0.151965,8.133279,0.0,24.29856,6.46503,0.0,39.048834,0.19799999999999998,0.5088599999999999,0.0,20.592,5.791499999999999,0.0,27.090359999999997
21,3,267,0,270,65,0,0.151965,8.449748999999999,0.0,25.23312,6.46503,0.0,40.299864,0.19799999999999998,0.5286599999999999,0.0,21.384,5.791499999999999,0.0,27.90216
22,3,277,0,280,65,0,0.151965,8.766219,0.0,26.16768,6.46503,0.0,41.550894,0.19799999999999998,0.54846,0.0,22.176,5.791499999999999,0.0,28.713959999999997
23,3,287,0,290,66,0,0.151965,9.082688999999998,0.0,27.10224,6.564492,0.0,42.901386,0.19799999999999998,0.56826,0.0,22.968,5.880599999999999,0.0,29.61486
24,3,297,0,300,66,0,0.151965,9.399159,0.0,28.0368,6.564492,0.0,44.152416,0.19799999999999998,0.5880599999999999,0.0,23.759999999999998,5.880599999999999,0.0,30.42666
25,3,306,0,310,67,0,0.151965,9.683981999999999,0.0,28.971360000000004,6.6639539999999995,0.0,45.471261,0.19799999999999998,0.60588,0.0,24.552,5.9697,0.0,31.32558
26,3,316,0,320,67,0,0.151965,10.000452,0.0,29.90592,6.6639539999999995,0.0,46.72229099999999,0.19799999999999998,0.6256799999999999,0.0,25.343999999999998,5.9697,0.0,32.13737999999999
27,3,326,0,330,67,0,0.151965,10.316922,0.0,30.840480000000003,6.6639539999999995,0.0,47.973321,0.19799999999999998,0.6454799999999999,0.0,26.136,5.9697,0.0,32.94918
28,3,336,0,340,68,0,0.151965,10.633391999999999,0.0,31.775039999999997,6.763416,0.0,49.323812999999994,0.19799999999999998,0.6652799999999999,0.0,26.927999999999997,6.0588,0.0,33.85008
29,3,346,0,350,68,0,0.151965,10.949861999999998,0.0,32.7096,6.763416,0.0,50.574843,0.19799999999999998,0.6850799999999999,0.0,27.72,6.0588,0.0,34.66188
30,3,356,0,360,68,0,0.151965,11.266331999999998,0.0,33.64416,6.763416,0.0,51.825872999999994,0.19799999999999998,0.70488,0.0,28.512,6.0588,0.0,35.47368
31,3,366,0,370,69,0,0.151965,11.582802,0.0,34.57872,6.862878,0.0,53.176365,0.19799999999999998,0.7246799999999999,0.0,29.304000000000002,6.1479,0.0,36.37458
32,3,376,0,380,69,0,0.151965,11.899271999999998,0.0,35.51328,6.862878,0.0,54.427395000000004,0.19799999999999998,0.7444799999999998,0.0,30.096,6.1479,0.0,37.18638
