itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,1,49,0,50,15,0,0.050655,1.550703,0.0,4.6728000000000005,1.49193,0.0,7.766088,0.066,0.09702,0.0,3.9599999999999995,1.3364999999999998,0.0,5.4595199999999995
1,1,59,0,60,15,0,0.050655,1.8671729999999997,0.0,5.60736,1.49193,0.0,9.017118,0.066,0.11681999999999998,0.0,4.752,1.3364999999999998,0.0,6.27132
2,1,69,0,70,15,0,0.050655,2.183643,0.0,6.54192,1.49193,0.0,10.268148,0.066,0.13662,0.0,5.544,1.3364999999999998,0.0,7.083119999999999
3,1,79,0,80,16,0,0.050655,2.500113,0.0,7.47648,1.591392,0.0,11.61864,0.066,0.15641999999999998,0.0,6.335999999999999,1.4256,0.0,7.984019999999999
4,1,89,0,90,16,0,0.050655,2.8165829999999996,0.0,8.41104,1.591392,0.0,12.86967,0.066,0.17622,0.0,7.128,1.4256,0.0,8.795819999999999
5,1,99,0,100,16,0,0.050655,3.133053,0.0,9.345600000000001,1.591392,0.0,14.1207,0.066,0.19601999999999997,0.0,7.919999999999999,1.4256,0.0,9.607619999999999
6,1,109,0,110,17,0,0.050655,3.4495229999999997,0.0,10.28016,1.690854,0.0,15.471192,0.066,0.21581999999999998,0.0,8.712,1.5147,0.0,10.508519999999999
7,1,119,0,120,17,0,0.050655,3.765993,0.0,11.21472,1.690854,0.0,16.722222000000002,0.066,0.23561999999999997,0.0,9.504,1.5147,0.0,11.320319999999999
8,1,128,0,130,17,0,0.050655,4.050815999999999,0.0,12.14928,1.690854,0.0,17.941605,0.066,0.25343999999999994,0.0,10.296,1.5147,0.0,12.130139999999999
9,1,138,0,140,18,0,0.050655,4.367286,0.0,13.08384,1.790316,0.0,19.292097000000002,0.066,0.27324,0.0,11.088,1.6038,0.0,13.031039999999999
10,1,148,0,150,18,0,0.050655,4.683756,0.0,14.0184,1.790316,0.0,20.543127000000002,0.066,0.29303999999999997,0.0,11.879999999999999,1.6038,0.0,13.842839999999999
11,1,158,0,160,18,0,0.050655,5.000226,0.0,14.95296,1.790316,0.0,21.794157,0.066,0.31283999999999995,0.0,12.671999999999999,1.6038,0.0,14.654639999999999
12,1,168,0,170,19,0,0.050655,5.316695999999999,0.0,15.887519999999999,1.8897779999999997,0.0,23.144648999999998,0.066,0.33263999999999994,0.0,13.463999999999999,1.6928999999999998,0.0,15.555539999999999
13,1,178,0,180,19,0,0.050655,5.633165999999999,0.0,16.82208,1.8897779999999997,0.0,24.395678999999998,0.066,0.35244,0.0,14.256,1.6928999999999998,0.0,16.36734
14,2,188,0,190,19,0,0.10131,5.949635999999999,0.0,17.75664,1.8897779999999997,0.0,25.697364,0.132,0.3722399999999999,0.0,15.048,1.6928999999999998,0.0,17.24514
15,2,198,0,200,20,0,0.10131,6.266106,0.0,18.691200000000002,1.98924,0.0,27.047856,0.132,0.39203999999999994,0.0,15.839999999999998,1.782,0.0,18.14604
16,2,208,0,210,20,0,0.10131,6.582575999999999,0.0,19.62576,1.98924,0.0,28.298885999999996,0.132,0.41184,0.0,16.631999999999998,1.782,0.0,18.957839999999997
17,2,218,0,220,21,0,0.10131,6.899045999999999,0.0,20.56032,2.088702,0.0,29.649378000000002,0.132,0.43163999999999997,0.0,17.424,1.8710999999999998,0.0,19.858739999999997
