itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,29,0,30,14,0,0.050655,0.9177629999999999,0.0,2.80368,1.392468,0.0,5.164566,0.066,0.05741999999999999,0.0,2.376,1.2473999999999998,0.0,3.7468199999999996
2,1,39,0,40,15,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.07721999999999998,0.0,3.1679999999999997,1.3364999999999998,0.0,4.64772
3,1,49,0,50,15,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.09702,0.0,3.9599999999999995,1.3364999999999998,0.0,5.4595199999999995
4,1,59,0,60,15,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.11681999999999998,0.0,4.752,1.3364999999999998,0.0,6.27132
5,1,69,0,70,16,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.066,0.13662,0.0,5.544,1.4256,0.0,7.172219999999999
6,1,79,0,80,16,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.15641999999999998,0.0,6.335999999999999,1.4256,0.0,7.984019999999999
7,1,89,0,90,16,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.17622,0.0,7.128,1.4256,0.0,8.795819999999999
8,1,98,0,100,17,0,0.0,0.284823,0.0,0.93456,0.099462,0.0,1.3188449999999998,0.066,0.19404,0.0,7.919999999999999,1.5147,0.0,9.694739999999998
9,1,108,0,110,17,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.066,0.21383999999999997,0.0,8.712,1.5147,0.0,10.50654
