itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,24,12,0,0.050655,0.7278809999999999,0.0,2.242944,1.193544,0.0,4.215024,0.066,0.04553999999999999,0.0,1.9008,1.0692,0.0,3.08154
2,1,24,0,25,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.04751999999999999,0.0,1.9799999999999998,1.0692,0.0,3.1627199999999998
3,1,25,0,26,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.049499999999999995,0.0,2.0591999999999997,1.0692,0.0,3.2438999999999996
4,1,26,0,27,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.05148,0.0,2.1384,1.0692,0.0,3.32508
5,1,27,0,28,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.053459999999999994,0.0,2.2176,1.0692,0.0,3.40626
6,1,28,0,29,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.055439999999999996,0.0,2.2968,1.0692,0.0,3.48744
7,1,29,0,30,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.05741999999999999,0.0,2.376,1.0692,0.0,3.5686199999999997
8,1,30,0,31,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.059399999999999994,0.0,2.4552,1.0692,0.0,3.6498
9,1,31,0,32,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06137999999999999,0.0,2.5343999999999998,1.0692,0.0,3.7309799999999997
10,1,32,0,33,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06335999999999999,0.0,2.6136,1.0692,0.0,3.81216
11,1,32,0,34,12,0,0.0,0.0,0.0,0.093456,0.0,0.0,0.093456,0.066,0.06335999999999999,0.0,2.6928,1.0692,0.0,3.89136
12,1,33,0,35,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06534,0.0,2.772,1.0692,0.0,3.97254
13,1,34,0,36,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06731999999999999,0.0,2.8512,1.0692,0.0,4.05372
14,1,35,0,37,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06929999999999999,0.0,2.9303999999999997,1.0692,0.0,4.1349
15,1,36,0,38,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07127999999999998,0.0,3.0096,1.0692,0.0,4.21608
16,1,37,0,39,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07325999999999999,0.0,3.0888,1.0692,0.0,4.29726
17,1,38,0,40,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07523999999999999,0.0,3.1679999999999997,1.0692,0.0,4.378439999999999
18,1,39,0,41,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07721999999999998,0.0,3.2472,1.0692,0.0,4.459619999999999
19,1,40,0,42,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07919999999999999,0.0,3.3264,1.0692,0.0,4.5408
20,1,41,0,43,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08117999999999999,0.0,3.4055999999999997,1.0692,0.0,4.62198
21,1,42,0,44,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08315999999999998,0.0,3.4848,1.0692,0.0,4.7031600000000005
22,1,43,0,45,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08513999999999998,0.0,3.564,1.0692,0.0,4.78434
23,1,44,0,46,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08711999999999999,0.0,3.6432,1.0692,0.0,4.86552
24,1,45,0,47,12,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08909999999999998,0.0,3.7224000000000004,1.0692,0.0,4.9467
25,2,46,0,48,12,0,0.050655,0.031646999999999995,0.0,0.093456,0.0,0.0,0.17575799999999997,0.132,0.09107999999999998,0.0,3.8016,1.0692,0.0,5.09388
26,2,47,0,49,13,0,0.0,0.031646999999999995,0.0,0.093456,0.099462,0.0,0.224565,0.132,0.09305999999999998,0.0,3.8807999999999994,1.1582999999999999,0.0,5.264159999999999
27,2,48,0,50,13,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.09503999999999999,0.0,3.9599999999999995,1.1582999999999999,0.0,5.345339999999999
28,2,49,0,51,13,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.09702,0.0,4.0392,1.1582999999999999,0.0,5.42652
29,2,50,0,52,13,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.09899999999999999,0.0,4.118399999999999,1.1582999999999999,0.0,5.507699999999999
