itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19,0,20,1,0,0.0,0.601293,0.0,1.86912,0.099462,0.0,2.5698749999999997,0.0,0.037619999999999994,0.0,1.5839999999999999,0.0891,0.0,1.7107199999999998
2,0,20,0,21,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.039599999999999996,0.0,1.6632,0.0891,0.0,1.7919
3,0,21,0,22,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.04157999999999999,0.0,1.7424,0.0891,0.0,1.8730799999999999
4,0,22,0,23,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.043559999999999995,0.0,1.8216,0.0891,0.0,1.95426
5,0,23,0,24,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.04553999999999999,0.0,1.9008,0.0891,0.0,2.03544
6,0,24,0,25,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.04751999999999999,0.0,1.9799999999999998,0.0891,0.0,2.1166199999999997
7,0,25,0,26,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.049499999999999995,0.0,2.0591999999999997,0.0891,0.0,2.1978
8,0,26,0,27,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.05148,0.0,2.1384,0.0891,0.0,2.2789800000000002
9,0,27,0,28,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.053459999999999994,0.0,2.2176,0.0891,0.0,2.36016
10,0,28,0,29,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.0,0.055439999999999996,0.0,2.2968,0.0891,0.0,2.4413400000000003
11,1,29,0,30,1,0,0.050655,0.031646999999999995,0.0,0.093456,0.0,0.0,0.17575799999999997,0.066,0.05741999999999999,0.0,2.376,0.0891,0.0,2.58852
12,1,30,0,31,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.059399999999999994,0.0,2.4552,0.0891,0.0,2.6697
13,1,31,0,32,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06137999999999999,0.0,2.5343999999999998,0.0891,0.0,2.75088
14,1,32,0,33,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06335999999999999,0.0,2.6136,0.0891,0.0,2.8320600000000002
15,1,33,0,34,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06534,0.0,2.6928,0.0891,0.0,2.91324
16,1,34,0,35,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06731999999999999,0.0,2.772,0.0891,0.0,2.99442
17,1,35,0,36,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.06929999999999999,0.0,2.8512,0.0891,0.0,3.0756
18,1,36,0,37,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07127999999999998,0.0,2.9303999999999997,0.0891,0.0,3.15678
19,1,37,0,38,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07325999999999999,0.0,3.0096,0.0891,0.0,3.23796
20,1,38,0,39,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07523999999999999,0.0,3.0888,0.0891,0.0,3.31914
21,1,39,0,40,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07721999999999998,0.0,3.1679999999999997,0.0891,0.0,3.40032
22,1,40,0,41,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.07919999999999999,0.0,3.2472,0.0891,0.0,3.4815
23,1,41,0,42,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08117999999999999,0.0,3.3264,0.0891,0.0,3.5626800000000003
24,1,42,0,43,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08315999999999998,0.0,3.4055999999999997,0.0891,0.0,3.64386
25,1,43,0,44,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08513999999999998,0.0,3.4848,0.0891,0.0,3.72504
26,1,44,0,45,1,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.066,0.08711999999999999,0.0,3.564,0.0891,0.0,3.80622
